;; okuri-ari entries.
;; okuri-nasi entries.
^( /⁽/
^) /⁾/
^+ /⁺/
^- /⁻/
^0 /⁰/
^1 /¹/
^2 /²/
^3 /³/
^4 /⁴/
^5 /⁵/
^6 /⁶/
^7 /⁷/
^8 /⁸/
^9 /⁹/
^= /⁼/
^i /ⁱ/
^n /ⁿ/
_( /₍/
_) /₎/
_+ /₊/
_- /₋/
_0 /₀/
_1 /₁/
_2 /₂/
_3 /₃/
_4 /₄/
_5 /₅/
_6 /₆/
_7 /₇/
_8 /₈/
_9 /₉/
_= /₌/
_a /ₐ/
_e /ₑ/
_h /ₕ/
_k /ₖ/
_l /ₗ/
_m /ₘ/
_n /ₙ/
_o /ₒ/
_p /ₚ/
_s /ₛ/
_t /ₜ/
_x /ₓ/
mathAlpha /𝛢/
mathBeta /𝛣/
mathChi /𝛸/
mathDelta /𝛥/
mathEpsilon /𝛦/
mathEta /𝛨/
mathGamma /𝛤/
mathIota /𝛪/
mathKappa /𝛫/
mathLambda /𝛬/
mathMu /𝛭/
mathNabla /𝛻/
mathNu /𝛮/
mathOmega /𝛺/
mathOmicron /𝛰/
mathPhi /𝛷/
mathPi /𝛱/
mathPsi /𝛹/
mathRho /𝛲/
mathSigma /𝛴/
mathTau /𝛵/
mathTheta /𝛩/
mathUpsilon /𝛶/
mathXi /𝛯/
mathZeta /𝛧/
mathalpha /𝛼/
mathbb0 /𝟘/
mathbb1 /𝟙/
mathbb2 /𝟚/
mathbb3 /𝟛/
mathbb4 /𝟜/
mathbb5 /𝟝/
mathbb6 /𝟞/
mathbb7 /𝟟/
mathbb8 /𝟠/
mathbb9 /𝟡/
mathbbA /𝔸/
mathbbB /𝔹/
mathbbC /ℂ/𝔺/
mathbbD /𝔻/
mathbbE /𝔼/
mathbbF /𝔽/
mathbbG /𝔾/
mathbbH /ℍ/𝔿/
mathbbI /𝕀/
mathbbJ /𝕁/
mathbbK /𝕂/
mathbbL /𝕃/
mathbbM /𝕄/
mathbbN /ℕ/𝕅/
mathbbO /𝕆/
mathbbP /ℙ/𝕇/
mathbbQ /ℚ/𝕈/
mathbbR /ℝ/𝕉/
mathbbS /𝕊/
mathbbT /𝕋/
mathbbU /𝕌/
mathbbV /𝕍/
mathbbW /𝕎/
mathbbX /𝕏/
mathbbY /𝕐/
mathbbZ /ℤ/𝕑/
mathbba /𝕒/
mathbbb /𝕓/
mathbbc /𝕔/
mathbbd /𝕕/
mathbbe /𝕖/
mathbbf /𝕗/
mathbbg /𝕘/
mathbbh /𝕙/
mathbbi /𝕚/
mathbbj /𝕛/
mathbbk /𝕜/
mathbbl /𝕝/
mathbbm /𝕞/
mathbbn /𝕟/
mathbbo /𝕠/
mathbbp /𝕡/
mathbbq /𝕢/
mathbbr /𝕣/
mathbbs /𝕤/
mathbbt /𝕥/
mathbbu /𝕦/
mathbbv /𝕧/
mathbbw /𝕨/
mathbbx /𝕩/
mathbby /𝕪/
mathbbz /𝕫/
mathbeta /𝛽/
mathbf0 /𝟎/
mathbf1 /𝟏/
mathbf2 /𝟐/
mathbf3 /𝟑/
mathbf4 /𝟒/
mathbf5 /𝟓/
mathbf6 /𝟔/
mathbf7 /𝟕/
